gpu_type,duration,gpu_count,usd_per_gpu_hr,benchmark_price,delta_pct
H200,1 hour,8,1.4,2.0,-0.30000000000000004
H200,1 hour,32,1.4,2.01,-0.30348258706467657
H200,1 hour,128,1.4,1.99,-0.29648241206030157
H200,1 hour,256,1.4,1.5,-0.06666666666666672
H200,1 hour,16,1.44,2.0,-0.28
H200,1 day,8,1.4,2.0,-0.30000000000000004
H200,1 day,32,1.4,2.0,-0.30000000000000004
H200,1 day,128,1.4,2.0,-0.30000000000000004
H200,1 day,16,1.4,2.0,-0.30000000000000004
H200,1 month,8,1.4,2.0,-0.30000000000000004
H200,1 month,32,1.4,2.1,-0.3333333333333334
H200,1 month,128,1.4,2.0,-0.30000000000000004
H200,1 month,256,1.4,1.7,-0.17647058823529416
H200,1 month,16,1.4,2.0,-0.30000000000000004
H100,1 hour,256,1.4,1.55,-0.09677419354838718
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 day,256,1.4,1.77,-0.20903954802259891
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 month,256,1.4,1.7,-0.17647058823529416
H100,1 month,16,1.4,1.5,-0.06666666666666672
H200,1 hour,8,1.4,2.0,-0.30000000000000004
H200,1 hour,32,1.4,2.01,-0.30348258706467657
H200,1 hour,128,1.4,1.99,-0.29648241206030157
H200,1 hour,256,1.4,1.5,-0.06666666666666672
H200,1 hour,16,1.44,2.0,-0.28
H200,1 day,8,1.4,2.0,-0.30000000000000004
H200,1 day,32,1.4,2.0,-0.30000000000000004
H200,1 day,128,1.4,2.0,-0.30000000000000004
H200,1 day,16,1.4,2.0,-0.30000000000000004
H200,1 month,8,1.4,2.0,-0.30000000000000004
H200,1 month,32,1.4,2.1,-0.3333333333333334
H200,1 month,128,1.4,2.0,-0.30000000000000004
H200,1 month,256,1.4,1.7,-0.17647058823529416
H200,1 month,16,1.4,2.0,-0.30000000000000004
H100,1 hour,256,1.4,1.55,-0.09677419354838718
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 day,256,1.4,1.77,-0.20903954802259891
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 month,256,1.4,1.7,-0.17647058823529416
H100,1 month,16,1.4,1.5,-0.06666666666666672
H200,1 hour,8,1.4,2.0,-0.30000000000000004
H200,1 hour,32,1.4,2.01,-0.30348258706467657
H200,1 hour,128,1.4,1.99,-0.29648241206030157
H200,1 hour,256,1.4,1.5,-0.06666666666666672
H200,1 hour,16,1.44,2.0,-0.28
H200,1 day,8,1.4,2.0,-0.30000000000000004
H200,1 day,32,1.4,2.0,-0.30000000000000004
H200,1 day,128,1.4,2.0,-0.30000000000000004
H200,1 day,16,1.4,2.0,-0.30000000000000004
H200,1 month,8,1.4,2.0,-0.30000000000000004
H200,1 month,32,1.4,2.1,-0.3333333333333334
H200,1 month,128,1.4,2.0,-0.30000000000000004
H200,1 month,256,1.4,1.7,-0.17647058823529416
H200,1 month,16,1.4,2.0,-0.30000000000000004
H100,1 hour,256,1.4,1.55,-0.09677419354838718
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 day,256,1.4,1.77,-0.20903954802259891
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 month,256,1.4,1.7,-0.17647058823529416
H100,1 month,16,1.4,1.5,-0.06666666666666672
H200,1 hour,8,1.4,2.0,-0.30000000000000004
H200,1 hour,32,1.4,2.01,-0.30348258706467657
H200,1 hour,128,1.4,1.99,-0.29648241206030157
H200,1 hour,256,1.4,1.5,-0.06666666666666672
H200,1 hour,16,1.44,2.0,-0.28
H200,1 day,8,1.4,2.0,-0.30000000000000004
H200,1 day,32,1.4,2.0,-0.30000000000000004
H200,1 day,128,1.4,2.0,-0.30000000000000004
H200,1 day,16,1.4,2.0,-0.30000000000000004
H200,1 month,8,1.4,2.0,-0.30000000000000004
H200,1 month,32,1.4,2.1,-0.3333333333333334
H200,1 month,128,1.4,2.0,-0.30000000000000004
H200,1 month,256,1.4,1.7,-0.17647058823529416
H200,1 month,16,1.4,2.0,-0.30000000000000004
H100,1 hour,256,1.4,1.55,-0.09677419354838718
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 day,256,1.4,1.77,-0.20903954802259891
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 month,256,1.4,1.7,-0.17647058823529416
H100,1 month,16,1.4,1.5,-0.06666666666666672
H200,1 hour,8,1.4,2.0,-0.30000000000000004
H200,1 hour,32,1.4,2.01,-0.30348258706467657
H200,1 hour,128,1.4,1.99,-0.29648241206030157
H200,1 hour,256,1.4,1.5,-0.06666666666666672
H200,1 hour,16,1.44,2.0,-0.28
H200,1 day,8,1.4,2.0,-0.30000000000000004
H200,1 day,32,1.4,2.0,-0.30000000000000004
H200,1 day,128,1.4,2.0,-0.30000000000000004
H200,1 day,16,1.4,2.0,-0.30000000000000004
H200,1 month,8,1.4,2.0,-0.30000000000000004
H200,1 month,32,1.4,2.1,-0.3333333333333334
H200,1 month,128,1.4,2.0,-0.30000000000000004
H200,1 month,256,1.4,1.7,-0.17647058823529416
H200,1 month,16,1.4,2.0,-0.30000000000000004
H100,1 hour,256,1.4,1.55,-0.09677419354838718
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 day,256,1.4,1.77,-0.20903954802259891
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 month,256,1.4,1.7,-0.17647058823529416
H100,1 month,16,1.4,1.5,-0.06666666666666672
H200,1 hour,8,1.4,2.0,-0.30000000000000004
H200,1 hour,32,1.4,2.01,-0.30348258706467657
H200,1 hour,128,1.4,1.99,-0.29648241206030157
H200,1 hour,256,1.4,1.5,-0.06666666666666672
H200,1 hour,16,1.44,2.0,-0.28
H200,1 day,8,1.4,2.0,-0.30000000000000004
H200,1 day,32,1.4,2.0,-0.30000000000000004
H200,1 day,128,1.4,2.0,-0.30000000000000004
H200,1 day,16,1.4,2.0,-0.30000000000000004
H200,1 month,8,1.4,2.0,-0.30000000000000004
H200,1 month,32,1.4,2.1,-0.3333333333333334
H200,1 month,128,1.4,2.0,-0.30000000000000004
H200,1 month,256,1.4,1.7,-0.17647058823529416
H200,1 month,16,1.4,2.0,-0.30000000000000004
H100,1 hour,256,1.4,1.55,-0.09677419354838718
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 day,256,1.4,1.77,-0.20903954802259891
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 month,256,1.4,1.7,-0.17647058823529416
H100,1 month,16,1.4,1.5,-0.06666666666666672
H200,1 hour,8,1.4,2.0,-0.30000000000000004
H200,1 hour,32,1.4,2.01,-0.30348258706467657
H200,1 hour,128,1.4,1.99,-0.29648241206030157
H200,1 hour,256,1.4,1.5,-0.06666666666666672
H200,1 hour,16,1.44,2.0,-0.28
H200,1 day,8,1.4,2.0,-0.30000000000000004
H200,1 day,32,1.4,2.0,-0.30000000000000004
H200,1 day,128,1.4,2.0,-0.30000000000000004
H200,1 day,16,1.4,2.0,-0.30000000000000004
H200,1 month,8,1.4,2.0,-0.30000000000000004
H200,1 month,32,1.4,2.1,-0.3333333333333334
H200,1 month,128,1.4,2.0,-0.30000000000000004
H200,1 month,256,1.4,1.7,-0.17647058823529416
H200,1 month,16,1.4,2.0,-0.30000000000000004
H100,1 hour,256,1.4,1.55,-0.09677419354838718
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 day,256,1.4,1.77,-0.20903954802259891
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 month,256,1.4,1.7,-0.17647058823529416
H100,1 month,16,1.4,1.5,-0.06666666666666672
H200,1 hour,8,1.4,2.0,-0.30000000000000004
H200,1 hour,32,1.4,2.01,-0.30348258706467657
H200,1 hour,128,1.4,1.99,-0.29648241206030157
H200,1 hour,256,1.4,1.5,-0.06666666666666672
H200,1 hour,16,1.44,2.0,-0.28
H200,1 day,8,1.4,2.0,-0.30000000000000004
H200,1 day,32,1.4,2.0,-0.30000000000000004
H200,1 day,128,1.4,2.0,-0.30000000000000004
H200,1 day,16,1.4,2.0,-0.30000000000000004
H200,1 month,8,1.4,2.0,-0.30000000000000004
H200,1 month,32,1.4,2.1,-0.3333333333333334
H200,1 month,128,1.4,2.0,-0.30000000000000004
H200,1 month,256,1.4,1.7,-0.17647058823529416
H200,1 month,16,1.4,2.0,-0.30000000000000004
H100,1 hour,256,1.4,1.55,-0.09677419354838718
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 day,256,1.4,1.77,-0.20903954802259891
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 month,256,1.4,1.7,-0.17647058823529416
H100,1 month,16,1.4,1.5,-0.06666666666666672
H200,1 hour,8,1.4,2.0,-0.30000000000000004
H200,1 hour,32,1.4,2.01,-0.30348258706467657
H200,1 hour,128,1.4,1.99,-0.29648241206030157
H200,1 hour,256,1.4,1.5,-0.06666666666666672
H200,1 hour,16,1.44,2.0,-0.28
H200,1 day,8,1.4,2.0,-0.30000000000000004
H200,1 day,32,1.4,2.0,-0.30000000000000004
H200,1 day,128,1.4,2.0,-0.30000000000000004
H200,1 day,16,1.4,2.0,-0.30000000000000004
H200,1 month,8,1.4,2.0,-0.30000000000000004
H200,1 month,32,1.4,2.1,-0.3333333333333334
H200,1 month,128,1.4,2.0,-0.30000000000000004
H200,1 month,256,1.4,1.7,-0.17647058823529416
H200,1 month,16,1.4,2.0,-0.30000000000000004
H100,1 hour,256,1.4,1.55,-0.09677419354838718
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 day,256,1.4,1.77,-0.20903954802259891
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 month,256,1.4,1.7,-0.17647058823529416
H100,1 month,16,1.4,1.5,-0.06666666666666672
H200,1 hour,8,1.4,2.0,-0.30000000000000004
H200,1 hour,32,1.4,2.01,-0.30348258706467657
H200,1 hour,128,1.4,1.99,-0.29648241206030157
H200,1 hour,256,1.4,1.5,-0.06666666666666672
H200,1 hour,16,1.44,2.0,-0.28
H200,1 day,8,1.4,2.0,-0.30000000000000004
H200,1 day,32,1.4,2.0,-0.30000000000000004
H200,1 day,128,1.4,2.0,-0.30000000000000004
H200,1 day,16,1.4,2.0,-0.30000000000000004
H200,1 month,8,1.4,2.0,-0.30000000000000004
H200,1 month,32,1.4,2.1,-0.3333333333333334
H200,1 month,128,1.4,2.0,-0.30000000000000004
H200,1 month,256,1.4,1.7,-0.17647058823529416
H200,1 month,16,1.4,2.0,-0.30000000000000004
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,64,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 week,8,1.4,1.5,-0.06666666666666672
H100,1 week,16,1.4,1.5,-0.06666666666666672
H100,1 week,32,1.4,1.5,-0.06666666666666672
H100,1 week,64,1.4,1.5,-0.06666666666666672
H100,1 week,128,1.4,1.5,-0.06666666666666672
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,64,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,64,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 week,8,1.4,1.5,-0.06666666666666672
H100,1 week,16,1.4,1.5,-0.06666666666666672
H100,1 week,32,1.4,1.5,-0.06666666666666672
H100,1 week,64,1.4,1.5,-0.06666666666666672
H100,1 week,128,1.4,1.5,-0.06666666666666672
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,64,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,64,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 week,8,1.4,1.5,-0.06666666666666672
H100,1 week,16,1.4,1.5,-0.06666666666666672
H100,1 week,32,1.4,1.5,-0.06666666666666672
H100,1 week,64,1.4,1.5,-0.06666666666666672
H100,1 week,128,1.4,1.5,-0.06666666666666672
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,64,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,64,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 week,8,1.4,1.5,-0.06666666666666672
H100,1 week,16,1.4,1.5,-0.06666666666666672
H100,1 week,32,1.4,1.5,-0.06666666666666672
H100,1 week,64,1.4,1.5,-0.06666666666666672
H100,1 week,128,1.4,1.5,-0.06666666666666672
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,64,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,64,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 week,8,1.4,1.5,-0.06666666666666672
H100,1 week,16,1.4,1.5,-0.06666666666666672
H100,1 week,32,1.4,1.5,-0.06666666666666672
H100,1 week,64,1.4,1.5,-0.06666666666666672
H100,1 week,128,1.4,1.5,-0.06666666666666672
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,64,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,64,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 week,8,1.4,1.5,-0.06666666666666672
H100,1 week,16,1.4,1.5,-0.06666666666666672
H100,1 week,32,1.4,1.5,-0.06666666666666672
H100,1 week,64,1.4,1.5,-0.06666666666666672
H100,1 week,128,1.4,1.5,-0.06666666666666672
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,64,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,64,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 week,8,1.4,1.5,-0.06666666666666672
H100,1 week,16,1.4,1.5,-0.06666666666666672
H100,1 week,32,1.4,1.5,-0.06666666666666672
H100,1 week,64,1.4,1.5,-0.06666666666666672
H100,1 week,128,1.4,1.5,-0.06666666666666672
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,64,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,64,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 week,8,1.4,1.5,-0.06666666666666672
H100,1 week,16,1.4,1.5,-0.06666666666666672
H100,1 week,32,1.4,1.5,-0.06666666666666672
H100,1 week,64,1.4,1.5,-0.06666666666666672
H100,1 week,128,1.4,1.5,-0.06666666666666672
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,64,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,64,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 week,8,1.4,1.5,-0.06666666666666672
H100,1 week,16,1.4,1.5,-0.06666666666666672
H100,1 week,32,1.4,1.5,-0.06666666666666672
H100,1 week,64,1.4,1.5,-0.06666666666666672
H100,1 week,128,1.4,1.5,-0.06666666666666672
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,64,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,64,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 week,8,1.4,1.5,-0.06666666666666672
H100,1 week,16,1.4,1.5,-0.06666666666666672
H100,1 week,32,1.4,1.5,-0.06666666666666672
H100,1 week,64,1.4,1.5,-0.06666666666666672
H100,1 week,128,1.4,1.5,-0.06666666666666672
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,64,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
H100,1 day,8,1.4,1.49,-0.06040268456375844
H100,1 day,16,1.4,1.49,-0.06040268456375844
H100,1 day,32,1.4,1.49,-0.06040268456375844
H100,1 day,64,1.4,1.49,-0.06040268456375844
H100,1 day,128,1.4,1.49,-0.06040268456375844
H100,1 week,8,1.4,1.5,-0.06666666666666672
H100,1 week,16,1.4,1.5,-0.06666666666666672
H100,1 week,32,1.4,1.5,-0.06666666666666672
H100,1 week,64,1.4,1.5,-0.06666666666666672
H100,1 week,128,1.4,1.5,-0.06666666666666672
H100,1 month,8,1.4,1.5,-0.06666666666666672
H100,1 month,16,1.4,1.5,-0.06666666666666672
H100,1 month,32,1.4,1.5,-0.06666666666666672
H100,1 month,64,1.4,1.5,-0.06666666666666672
H100,1 month,128,1.4,1.5,-0.06666666666666672
